epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,654.376,0.54381,0.56676,1.00399,0,0,0,0,0,314.633,0,0.000569375,0.000569375,0.000569375
57,665.988,0.55412,0.53901,0.96801,0,0,0,0,0,326.939,0,0.000557,0.000557,0.000557
58,677.597,0.59332,0.57592,1.00296,0,0,0,0,0,332.927,0,0.000544625,0.000544625,0.000544625
59,689.243,0.54264,0.57156,0.99571,0,0,0,0,0,326.856,0,0.00053225,0.00053225,0.00053225
60,700.845,0.53465,0.55835,0.98319,0,0,0,0,0,303.671,0,0.000519875,0.000519875,0.000519875
61,712.441,0.5341,0.53135,0.9706,0,0,0,0,0,280.63,0,0.0005075,0.0005075,0.0005075
62,724.086,0.52363,0.54952,0.95629,0,0,0,0,0,279.272,0,0.000495125,0.000495125,0.000495125
63,735.693,0.5132,0.55197,0.96888,0,0,0,0,0,292.463,0,0.00048275,0.00048275,0.00048275
64,747.323,0.50903,0.55239,0.97606,0,0,0,0,0,306.808,0,0.000470375,0.000470375,0.000470375
65,758.971,0.52506,0.5364,0.98205,0,0,0,0,0,309.008,0,0.000458,0.000458,0.000458
66,770.6,0.53036,0.52994,0.96993,0,0,0,0,0,307.061,0,0.000445625,0.000445625,0.000445625
67,782.244,0.49143,0.52007,0.94875,0,0,0,0,0,303.107,0,0.00043325,0.00043325,0.00043325
68,793.865,0.50625,0.53463,0.97193,0,0,0,0,0,296.209,0,0.000420875,0.000420875,0.000420875
69,805.533,0.49892,0.49151,0.93711,0,0,0,0,0,293.112,0,0.0004085,0.0004085,0.0004085
70,817.118,0.48821,0.51392,0.95522,0,0,0,0,0,293.307,0,0.000396125,0.000396125,0.000396125
71,828.776,0.5051,0.52841,0.98689,0,0,0,0,0,299.57,0,0.00038375,0.00038375,0.00038375
72,840.397,0.49348,0.50106,0.94963,0,0,0,0,0,306.856,0,0.000371375,0.000371375,0.000371375
73,851.991,0.48117,0.4995,0.94084,0,0,0,0,0,311.996,0,0.000359,0.000359,0.000359
74,863.605,0.48357,0.50327,0.97013,0,0,0,0,0,313.673,0,0.000346625,0.000346625,0.000346625
75,875.227,0.50168,0.51332,0.98782,0,0,0,0,0,303.127,0,0.00033425,0.00033425,0.00033425
76,886.823,0.4997,0.51703,0.98969,0,0,0,0,0,290.899,0,0.000321875,0.000321875,0.000321875
77,898.444,0.49976,0.50971,0.94262,0,0,0,0,0,286.558,0,0.0003095,0.0003095,0.0003095
78,910.036,0.47649,0.50163,0.93281,0,0,0,0,0,287.917,0,0.000297125,0.000297125,0.000297125
79,921.672,0.45701,0.49678,0.94056,0,0,0,0,0,293.282,0,0.00028475,0.00028475,0.00028475
80,933.232,0.47615,0.50094,0.95238,0,0,0,0,0,302.276,0,0.000272375,0.000272375,0.000272375
81,944.843,0.45826,0.48558,0.93672,0,0,0,0,0,314.832,0,0.00026,0.00026,0.00026
82,956.462,0.47002,0.51903,0.96042,0,0,0,0,0,321.912,0,0.000247625,0.000247625,0.000247625
83,968.067,0.45255,0.47831,0.92738,0,0,0,0,0,326.242,0,0.00023525,0.00023525,0.00023525
84,979.667,0.47946,0.4841,0.94072,0,0,0,0,0,327.681,0,0.000222875,0.000222875,0.000222875
85,991.305,0.46399,0.50593,0.96328,0,0,0,0,0,330.038,0,0.0002105,0.0002105,0.0002105
86,1002.92,0.4649,0.48687,0.9385,0,0,0,0,0,332.899,0,0.000198125,0.000198125,0.000198125
87,1014.59,0.44786,0.48615,0.95377,0,0,0,0,0,335.198,0,0.00018575,0.00018575,0.00018575
88,1026.21,0.45449,0.48775,0.9547,0,0,0,0,0,336.849,0,0.000173375,0.000173375,0.000173375
89,1037.84,0.4335,0.47698,0.92983,0,0,0,0,0,337.17,0,0.000161,0.000161,0.000161
90,1049.47,0.45777,0.49747,0.95771,0,0,0,0,0,338.409,0,0.000148625,0.000148625,0.000148625
91,1061.17,0.41351,0.5651,0.91923,0,0,0,0,0,343.323,0,0.00013625,0.00013625,0.00013625
92,1072.68,0.42893,0.54936,0.89784,0,0,0,0,0,340.165,0,0.000123875,0.000123875,0.000123875
93,1084.39,0.42396,0.56265,0.94643,0,0,0,0,0,330.225,0,0.0001115,0.0001115,0.0001115
94,1095.83,0.37645,0.5146,0.87399,0,0,0,0,0,318.508,0,9.9125e-05,9.9125e-05,9.9125e-05
95,1107.32,0.40817,0.5359,0.94131,0,0,0,0,0,310.234,0,8.675e-05,8.675e-05,8.675e-05
96,1118.77,0.41633,0.54115,0.90733,0,0,0,0,0,306.266,0,7.4375e-05,7.4375e-05,7.4375e-05
97,1130.26,0.404,0.55474,0.92905,0,0,0,0,0,306.035,0,6.2e-05,6.2e-05,6.2e-05
98,1141.75,0.39655,0.51754,0.92393,0,0,0,0,0,308.42,0,4.9625e-05,4.9625e-05,4.9625e-05
99,1153.2,0.37576,0.51307,0.8843,0,0,0,0,0,315.283,0,3.725e-05,3.725e-05,3.725e-05
100,1164.68,0.36289,0.50386,0.87547,0,0,0,0,0,322.949,0,2.4875e-05,2.4875e-05,2.4875e-05
